Date,Confirmed,Price,,,,
2020-01-22,555,48.68000031,,,,
2020-01-23,654,48.41999817,,,,
2020-01-24,941,47.18000031,,,,
2020-01-25,1434,47.18000031,,,,
2020-01-26,2118,47.18000031,,,,
2020-01-27,2927,44.74000168,,,,
2020-01-28,5578,45.09999847,,,,
2020-01-29,6166,45.59999847,,,,
2020-01-30,8234,44.93000031,,,,
2020-01-31,9927,44.33000183,,,,
2020-02-01,12038,44.33000183,,,,
2020-02-02,16787,44.33000183,,,,
2020-02-03,19881,44.77999878,,,,
2020-02-04,23892,46.50999832,,,,
2020-02-05,27635,46.70000076,,,,
2020-02-06,30794,46.34999847,,,,
2020-02-07,34391,45.45999908,,,,
2020-02-08,37120,45.45999908,,,,
2020-02-09,40150,45.45999908,,,,
2020-02-10,42762,45.08000183,,,,
2020-02-11,44802,46.58000183,,,,
2020-02-12,45221,47.06999969,,,,
2020-02-13,60368,47.04999924,,,,
2020-02-14,66885,46.22000122,,,,
2020-02-15,69030,46.22000122,,,,
2020-02-16,71224,46.22000122,,,,
2020-02-17,73258,46.22000122,,,,
2020-02-18,75136,45,,,,
2020-02-19,75639,45.31000137,,,,
2020-02-20,76197,44.45000076,,,,
2020-02-21,76819,42.18000031,,,,
2020-02-22,78572,42.18000031,,,,
2020-02-23,78958,42.18000031,,,,
2020-02-24,79561,40.06999969,,,,
2020-02-25,80406,37.38999939,,,,
2020-02-26,81388,34.91999817,,,,
2020-02-27,82746,35.45000076,,,,
2020-02-28,84112,34.25,,,,
2020-02-29,86011,34.25,,,,
2020-03-01,88369,34.25,,,,
2020-03-02,90306,34.56999969,,,,
2020-03-03,92840,34.93999863,,,,
2020-03-04,95120,35.06999969,,,,
2020-03-05,97886,32.15999985,,,,
2020-03-06,101801,33.15999985,,,,
2020-03-07,105847,33.15999985,,,,
2020-03-08,109821,33.15999985,,,,
2020-03-09,113590,30.30999947,,,,
2020-03-10,118620,31.21999931,,,,
2020-03-11,125875,27.39999962,,,,
2020-03-12,128352,24.89999962,,,,
2020-03-13,145205,25.37000084,,,,
2020-03-14,156101,25.37000084,,,,
2020-03-15,167454,25.37000084,,,,
2020-03-16,181574,18.22999954,,,,
2020-03-17,197102,16.09000015,,,,
2020-03-18,214821,12.89999962,,,,
2020-03-19,242570,12.14999962,,,,
2020-03-20,272208,12.40999985,,,,
2020-03-21,304507,12.40999985,,,,
2020-03-22,336953,12.40999985,,,,
2020-03-23,378235,12.69999981,,,,
2020-03-24,418045,15.10999966,,,,
2020-03-25,467653,17.51000023,,,,
2020-03-26,529591,17.90999985,,,,
2020-03-27,593291,16.75,,,,
2020-03-28,660706,16.75,,,,
2020-03-29,720140,16.75,,,,
2020-03-30,782395,16.75,,,,
2020-03-31,857487,16.07999992,,,,
2020-04-01,932605,15.75,,,,
2020-04-02,1013320,14.46000004,,,,
2020-04-03,1095917,14.72000027,,,,
2020-04-04,1197405,14.55000019,,,,
2020-04-05,1272115,14.55000019,,,,
2020-04-06,1345101,15.15999985,,,,
2020-04-07,1426096,16.56999969,,,,
